"Notes"	"Month"	"Month Code"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	"Gender"	"Gender Code"	Deaths	Population	Crude Rate
"Total"	"May, 2015"	"2015/05"	"15-19 years"	"15-19"			66	Not Applicable	Not Applicable
	"May, 2015"	"2015/05"	"20-24 years"	"20-24"	"Female"	"F"	75	Not Applicable	Not Applicable
	"May, 2015"	"2015/05"	"20-24 years"	"20-24"	"Male"	"M"	223	Not Applicable	Not Applicable
"Total"	"May, 2015"	"2015/05"	"20-24 years"	"20-24"			298	Not Applicable	Not Applicable
	"May, 2015"	"2015/05"	"25-29 years"	"25-29"	"Female"	"F"	118	Not Applicable	Not Applicable
	"May, 2015"	"2015/05"	"25-29 years"	"25-29"	"Male"	"M"	349	Not Applicable	Not Applicable
"Total"	"May, 2015"	"2015/05"	"25-29 years"	"25-29"			467	Not Applicable	Not Applicable
	"May, 2015"	"2015/05"	"30-34 years"	"30-34"	"Female"	"F"	175	Not Applicable	Not Applicable
	"May, 2015"	"2015/05"	"30-34 years"	"30-34"	"Male"	"M"	377	Not Applicable	Not Applicable
"Total"	"May, 2015"	"2015/05"	"30-34 years"	"30-34"			552	Not Applicable	Not Applicable
	"May, 2015"	"2015/05"	"35-39 years"	"35-39"	"Female"	"F"	170	Not Applicable	Not Applicable
	"May, 2015"	"2015/05"	"35-39 years"	"35-39"	"Male"	"M"	325	Not Applicable	Not Applicable
"Total"	"May, 2015"	"2015/05"	"35-39 years"	"35-39"			495	Not Applicable	Not Applicable
	"May, 2015"	"2015/05"	"40-44 years"	"40-44"	"Female"	"F"	180	Not Applicable	Not Applicable
	"May, 2015"	"2015/05"	"40-44 years"	"40-44"	"Male"	"M"	304	Not Applicable	Not Applicable
"Total"	"May, 2015"	"2015/05"	"40-44 years"	"40-44"			484	Not Applicable	Not Applicable
	"May, 2015"	"2015/05"	"45-49 years"	"45-49"	"Female"	"F"	225	Not Applicable	Not Applicable
	"May, 2015"	"2015/05"	"45-49 years"	"45-49"	"Male"	"M"	332	Not Applicable	Not Applicable
"Total"	"May, 2015"	"2015/05"	"45-49 years"	"45-49"			557	Not Applicable	Not Applicable
	"May, 2015"	"2015/05"	"50-54 years"	"50-54"	"Female"	"F"	234	Not Applicable	Not Applicable
	"May, 2015"	"2015/05"	"50-54 years"	"50-54"	"Male"	"M"	314	Not Applicable	Not Applicable
"Total"	"May, 2015"	"2015/05"	"50-54 years"	"50-54"			548	Not Applicable	Not Applicable
	"May, 2015"	"2015/05"	"55-59 years"	"55-59"	"Female"	"F"	213	Not Applicable	Not Applicable
	"May, 2015"	"2015/05"	"55-59 years"	"55-59"	"Male"	"M"	274	Not Applicable	Not Applicable
"Total"	"May, 2015"	"2015/05"	"55-59 years"	"55-59"			487	Not Applicable	Not Applicable
	"May, 2015"	"2015/05"	"60-64 years "	"60-64"	"Female"	"F"	118	Not Applicable	Not Applicable
	"May, 2015"	"2015/05"	"60-64 years "	"60-64"	"Male"	"M"	144	Not Applicable	Not Applicable
"Total"	"May, 2015"	"2015/05"	"60-64 years "	"60-64"			262	Not Applicable	Not Applicable
	"May, 2015"	"2015/05"	"65-69 years"	"65-69"	"Female"	"F"	49	Not Applicable	Not Applicable
	"May, 2015"	"2015/05"	"65-69 years"	"65-69"	"Male"	"M"	57	Not Applicable	Not Applicable
"Total"	"May, 2015"	"2015/05"	"65-69 years"	"65-69"			106	Not Applicable	Not Applicable
	"May, 2015"	"2015/05"	"70-74 years"	"70-74"	"Female"	"F"	33	Not Applicable	Not Applicable
	"May, 2015"	"2015/05"	"70-74 years"	"70-74"	"Male"	"M"	20	Not Applicable	Not Applicable
"Total"	"May, 2015"	"2015/05"	"70-74 years"	"70-74"			53	Not Applicable	Not Applicable
	"May, 2015"	"2015/05"	"75-79 years"	"75-79"	"Female"	"F"	13	Not Applicable	Not Applicable
	"May, 2015"	"2015/05"	"75-79 years"	"75-79"	"Male"	"M"	12	Not Applicable	Not Applicable
"Total"	"May, 2015"	"2015/05"	"75-79 years"	"75-79"			25	Not Applicable	Not Applicable
	"May, 2015"	"2015/05"	"80-84 years"	"80-84"	"Female"	"F"	8	Not Applicable	Not Applicable
	"May, 2015"	"2015/05"	"80-84 years"	"80-84"	"Male"	"M"	1	Not Applicable	Not Applicable
"Total"	"May, 2015"	"2015/05"	"80-84 years"	"80-84"			9	Not Applicable	Not Applicable
	"May, 2015"	"2015/05"	"85-89 years"	"85-89"	"Female"	"F"	4	Not Applicable	Not Applicable
	"May, 2015"	"2015/05"	"85-89 years"	"85-89"	"Male"	"M"	4	Not Applicable	Not Applicable
"Total"	"May, 2015"	"2015/05"	"85-89 years"	"85-89"			8	Not Applicable	Not Applicable
	"May, 2015"	"2015/05"	"90-94 years"	"90-94"	"Female"	"F"	6	Not Applicable	Not Applicable
	"May, 2015"	"2015/05"	"90-94 years"	"90-94"	"Male"	"M"	2	Not Applicable	Not Applicable
"Total"	"May, 2015"	"2015/05"	"90-94 years"	"90-94"			8	Not Applicable	Not Applicable
	"May, 2015"	"2015/05"	"95-99 years"	"95-99"	"Female"	"F"	1	Not Applicable	Not Applicable
	"May, 2015"	"2015/05"	"95-99 years"	"95-99"	"Male"	"M"	0	Not Applicable	Not Applicable
"Total"	"May, 2015"	"2015/05"	"95-99 years"	"95-99"			1	Not Applicable	Not Applicable
	"May, 2015"	"2015/05"	"100+ years"	"100+"	"Female"	"F"	0	Not Applicable	Not Applicable
	"May, 2015"	"2015/05"	"100+ years"	"100+"	"Male"	"M"	0	Not Applicable	Not Applicable
"Total"	"May, 2015"	"2015/05"	"100+ years"	"100+"			0	Not Applicable	Not Applicable
	"May, 2015"	"2015/05"	"Not Stated"	"NS"	"Female"	"F"	0	Not Applicable	Not Applicable
	"May, 2015"	"2015/05"	"Not Stated"	"NS"	"Male"	"M"	0	Not Applicable	Not Applicable
"Total"	"May, 2015"	"2015/05"	"Not Stated"	"NS"			0	Not Applicable	Not Applicable
"Total"	"May, 2015"	"2015/05"					4437	Not Applicable	Not Applicable
	"Jun., 2015"	"2015/06"	"< 1 year"	"1"	"Female"	"F"	0	Not Applicable	Not Applicable
	"Jun., 2015"	"2015/06"	"< 1 year"	"1"	"Male"	"M"	3	Not Applicable	Not Applicable
"Total"	"Jun., 2015"	"2015/06"	"< 1 year"	"1"			3	Not Applicable	Not Applicable
	"Jun., 2015"	"2015/06"	"1-4 years"	"1-4"	"Female"	"F"	1	Not Applicable	Not Applicable
	"Jun., 2015"	"2015/06"	"1-4 years"	"1-4"	"Male"	"M"	4	Not Applicable	Not Applicable
"Total"	"Jun., 2015"	"2015/06"	"1-4 years"	"1-4"			5	Not Applicable	Not Applicable
	"Jun., 2015"	"2015/06"	"5-9 years"	"5-9"	"Female"	"F"	2	Not Applicable	Not Applicable
	"Jun., 2015"	"2015/06"	"5-9 years"	"5-9"	"Male"	"M"	4	Not Applicable	Not Applicable
"Total"	"Jun., 2015"	"2015/06"	"5-9 years"	"5-9"			6	Not Applicable	Not Applicable
	"Jun., 2015"	"2015/06"	"10-14 years"	"10-14"	"Female"	"F"	1	Not Applicable	Not Applicable
	"Jun., 2015"	"2015/06"	"10-14 years"	"10-14"	"Male"	"M"	1	Not Applicable	Not Applicable
"Total"	"Jun., 2015"	"2015/06"	"10-14 years"	"10-14"			2	Not Applicable	Not Applicable
	"Jun., 2015"	"2015/06"	"15-19 years"	"15-19"	"Female"	"F"	16	Not Applicable	Not Applicable
	"Jun., 2015"	"2015/06"	"15-19 years"	"15-19"	"Male"	"M"	39	Not Applicable	Not Applicable
"Total"	"Jun., 2015"	"2015/06"	"15-19 years"	"15-19"			55	Not Applicable	Not Applicable
	"Jun., 2015"	"2015/06"	"20-24 years"	"20-24"	"Female"	"F"	74	Not Applicable	Not Applicable
	"Jun., 2015"	"2015/06"	"20-24 years"	"20-24"	"Male"	"M"	227	Not Applicable	Not Applicable
"Total"	"Jun., 2015"	"2015/06"	"20-24 years"	"20-24"			301	Not Applicable	Not Applicable
	"Jun., 2015"	"2015/06"	"25-29 years"	"25-29"	"Female"	"F"	112	Not Applicable	Not Applicable
	"Jun., 2015"	"2015/06"	"25-29 years"	"25-29"	"Male"	"M"	345	Not Applicable	Not Applicable
"Total"	"Jun., 2015"	"2015/06"	"25-29 years"	"25-29"			457	Not Applicable	Not Applicable
	"Jun., 2015"	"2015/06"	"30-34 years"	"30-34"	"Female"	"F"	153	Not Applicable	Not Applicable
	"Jun., 2015"	"2015/06"	"30-34 years"	"30-34"	"Male"	"M"	359	Not Applicable	Not Applicable
"Total"	"Jun., 2015"	"2015/06"	"30-34 years"	"30-34"			512	Not Applicable	Not Applicable
	"Jun., 2015"	"2015/06"	"35-39 years"	"35-39"	"Female"	"F"	146	Not Applicable	Not Applicable
	"Jun., 2015"	"2015/06"	"35-39 years"	"35-39"	"Male"	"M"	342	Not Applicable	Not Applicable
"Total"	"Jun., 2015"	"2015/06"	"35-39 years"	"35-39"			488	Not Applicable	Not Applicable
	"Jun., 2015"	"2015/06"	"40-44 years"	"40-44"	"Female"	"F"	157	Not Applicable	Not Applicable
	"Jun., 2015"	"2015/06"	"40-44 years"	"40-44"	"Male"	"M"	266	Not Applicable	Not Applicable
"Total"	"Jun., 2015"	"2015/06"	"40-44 years"	"40-44"			423	Not Applicable	Not Applicable
	"Jun., 2015"	"2015/06"	"45-49 years"	"45-49"	"Female"	"F"	173	Not Applicable	Not Applicable
	"Jun., 2015"	"2015/06"	"45-49 years"	"45-49"	"Male"	"M"	276	Not Applicable	Not Applicable
"Total"	"Jun., 2015"	"2015/06"	"45-49 years"	"45-49"			449	Not Applicable	Not Applicable
	"Jun., 2015"	"2015/06"	"50-54 years"	"50-54"	"Female"	"F"	254	Not Applicable	Not Applicable
	"Jun., 2015"	"2015/06"	"50-54 years"	"50-54"	"Male"	"M"	309	Not Applicable	Not Applicable
"Total"	"Jun., 2015"	"2015/06"	"50-54 years"	"50-54"			563	Not Applicable	Not Applicable
	"Jun., 2015"	"2015/06"	"55-59 years"	"55-59"	"Female"	"F"	194	Not Applicable	Not Applicable
	"Jun., 2015"	"2015/06"	"55-59 years"	"55-59"	"Male"	"M"	240	Not Applicable	Not Applicable
"Total"	"Jun., 2015"	"2015/06"	"55-59 years"	"55-59"			434	Not Applicable	Not Applicable
	"Jun., 2015"	"2015/06"	"60-64 years "	"60-64"	"Female"	"F"	95	Not Applicable	Not Applicable
	"Jun., 2015"	"2015/06"	"60-64 years "	"60-64"	"Male"	"M"	130	Not Applicable	Not Applicable
"Total"	"Jun., 2015"	"2015/06"	"60-64 years "	"60-64"			225	Not Applicable	Not Applicable
	"Jun., 2015"	"2015/06"	"65-69 years"	"65-69"	"Female"	"F"	60	Not Applicable	Not Applicable
	"Jun., 2015"	"2015/06"	"65-69 years"	"65-69"	"Male"	"M"	64	Not Applicable	Not Applicable
"Total"	"Jun., 2015"	"2015/06"	"65-69 years"	"65-69"			124	Not Applicable	Not Applicable
	"Jun., 2015"	"2015/06"	"70-74 years"	"70-74"	"Female"	"F"	26	Not Applicable	Not Applicable
	"Jun., 2015"	"2015/06"	"70-74 years"	"70-74"	"Male"	"M"	20	Not Applicable	Not Applicable
"Total"	"Jun., 2015"	"2015/06"	"70-74 years"	"70-74"			46	Not Applicable	Not Applicable
	"Jun., 2015"	"2015/06"	"75-79 years"	"75-79"	"Female"	"F"	12	Not Applicable	Not Applicable
	"Jun., 2015"	"2015/06"	"75-79 years"	"75-79"	"Male"	"M"	10	Not Applicable	Not Applicable
"Total"	"Jun., 2015"	"2015/06"	"75-79 years"	"75-79"			22	Not Applicable	Not Applicable
	"Jun., 2015"	"2015/06"	"80-84 years"	"80-84"	"Female"	"F"	5	Not Applicable	Not Applicable
	"Jun., 2015"	"2015/06"	"80-84 years"	"80-84"	"Male"	"M"	10	Not Applicable	Not Applicable
"Total"	"Jun., 2015"	"2015/06"	"80-84 years"	"80-84"			15	Not Applicable	Not Applicable
	"Jun., 2015"	"2015/06"	"85-89 years"	"85-89"	"Female"	"F"	6	Not Applicable	Not Applicable
	"Jun., 2015"	"2015/06"	"85-89 years"	"85-89"	"Male"	"M"	8	Not Applicable	Not Applicable
"Total"	"Jun., 2015"	"2015/06"	"85-89 years"	"85-89"			14	Not Applicable	Not Applicable
	"Jun., 2015"	"2015/06"	"90-94 years"	"90-94"	"Female"	"F"	2	Not Applicable	Not Applicable
	"Jun., 2015"	"2015/06"	"90-94 years"	"90-94"	"Male"	"M"	2	Not Applicable	Not Applicable
"Total"	"Jun., 2015"	"2015/06"	"90-94 years"	"90-94"			4	Not Applicable	Not Applicable
	"Jun., 2015"	"2015/06"	"95-99 years"	"95-99"	"Female"	"F"	1	Not Applicable	Not Applicable
	"Jun., 2015"	"2015/06"	"95-99 years"	"95-99"	"Male"	"M"	0	Not Applicable	Not Applicable
"Total"	"Jun., 2015"	"2015/06"	"95-99 years"	"95-99"			1	Not Applicable	Not Applicable
	"Jun., 2015"	"2015/06"	"100+ years"	"100+"	"Female"	"F"	0	Not Applicable	Not Applicable
	"Jun., 2015"	"2015/06"	"100+ years"	"100+"	"Male"	"M"	0	Not Applicable	Not Applicable
"Total"	"Jun., 2015"	"2015/06"	"100+ years"	"100+"			0	Not Applicable	Not Applicable
	"Jun., 2015"	"2015/06"	"Not Stated"	"NS"	"Female"	"F"	1	Not Applicable	Not Applicable
	"Jun., 2015"	"2015/06"	"Not Stated"	"NS"	"Male"	"M"	0	Not Applicable	Not Applicable
"Total"	"Jun., 2015"	"2015/06"	"Not Stated"	"NS"			1	Not Applicable	Not Applicable
"Total"	"Jun., 2015"	"2015/06"					4150	Not Applicable	Not Applicable
	"Jul., 2015"	"2015/07"	"< 1 year"	"1"	"Female"	"F"	1	Not Applicable	Not Applicable
	"Jul., 2015"	"2015/07"	"< 1 year"	"1"	"Male"	"M"	2	Not Applicable	Not Applicable
"Total"	"Jul., 2015"	"2015/07"	"< 1 year"	"1"			3	Not Applicable	Not Applicable
	"Jul., 2015"	"2015/07"	"1-4 years"	"1-4"	"Female"	"F"	3	Not Applicable	Not Applicable
	"Jul., 2015"	"2015/07"	"1-4 years"	"1-4"	"Male"	"M"	1	Not Applicable	Not Applicable
"Total"	"Jul., 2015"	"2015/07"	"1-4 years"	"1-4"			4	Not Applicable	Not Applicable
	"Jul., 2015"	"2015/07"	"5-9 years"	"5-9"	"Female"	"F"	0	Not Applicable	Not Applicable
	"Jul., 2015"	"2015/07"	"5-9 years"	"5-9"	"Male"	"M"	1	Not Applicable	Not Applicable
"Total"	"Jul., 2015"	"2015/07"	"5-9 years"	"5-9"			1	Not Applicable	Not Applicable
	"Jul., 2015"	"2015/07"	"10-14 years"	"10-14"	"Female"	"F"	4	Not Applicable	Not Applicable
	"Jul., 2015"	"2015/07"	"10-14 years"	"10-14"	"Male"	"M"	1	Not Applicable	Not Applicable
"Total"	"Jul., 2015"	"2015/07"	"10-14 years"	"10-14"			5	Not Applicable	Not Applicable
	"Jul., 2015"	"2015/07"	"15-19 years"	"15-19"	"Female"	"F"	22	Not Applicable	Not Applicable
	"Jul., 2015"	"2015/07"	"15-19 years"	"15-19"	"Male"	"M"	59	Not Applicable	Not Applicable
"Total"	"Jul., 2015"	"2015/07"	"15-19 years"	"15-19"			81	Not Applicable	Not Applicable
	"Jul., 2015"	"2015/07"	"20-24 years"	"20-24"	"Female"	"F"	73	Not Applicable	Not Applicable
	"Jul., 2015"	"2015/07"	"20-24 years"	"20-24"	"Male"	"M"	205	Not Applicable	Not Applicable
"Total"	"Jul., 2015"	"2015/07"	"20-24 years"	"20-24"			278	Not Applicable	Not Applicable
	"Jul., 2015"	"2015/07"	"25-29 years"	"25-29"	"Female"	"F"	128	Not Applicable	Not Applicable
	"Jul., 2015"	"2015/07"	"25-29 years"	"25-29"	"Male"	"M"	327	Not Applicable	Not Applicable
"Total"	"Jul., 2015"	"2015/07"	"25-29 years"	"25-29"			455	Not Applicable	Not Applicable
	"Jul., 2015"	"2015/07"	"30-34 years"	"30-34"	"Female"	"F"	149	Not Applicable	Not Applicable
	"Jul., 2015"	"2015/07"	"30-34 years"	"30-34"	"Male"	"M"	364	Not Applicable	Not Applicable
"Total"	"Jul., 2015"	"2015/07"	"30-34 years"	"30-34"			513	Not Applicable	Not Applicable
	"Jul., 2015"	"2015/07"	"35-39 years"	"35-39"	"Female"	"F"	174	Not Applicable	Not Applicable
	"Jul., 2015"	"2015/07"	"35-39 years"	"35-39"	"Male"	"M"	320	Not Applicable	Not Applicable
"Total"	"Jul., 2015"	"2015/07"	"35-39 years"	"35-39"			494	Not Applicable	Not Applicable
	"Jul., 2015"	"2015/07"	"40-44 years"	"40-44"	"Female"	"F"	189	Not Applicable	Not Applicable
	"Jul., 2015"	"2015/07"	"40-44 years"	"40-44"	"Male"	"M"	294	Not Applicable	Not Applicable
"Total"	"Jul., 2015"	"2015/07"	"40-44 years"	"40-44"			483	Not Applicable	Not Applicable
	"Jul., 2015"	"2015/07"	"45-49 years"	"45-49"	"Female"	"F"	222	Not Applicable	Not Applicable
	"Jul., 2015"	"2015/07"	"45-49 years"	"45-49"	"Male"	"M"	332	Not Applicable	Not Applicable
"Total"	"Jul., 2015"	"2015/07"	"45-49 years"	"45-49"			554	Not Applicable	Not Applicable
	"Jul., 2015"	"2015/07"	"50-54 years"	"50-54"	"Female"	"F"	252	Not Applicable	Not Applicable
	"Jul., 2015"	"2015/07"	"50-54 years"	"50-54"	"Male"	"M"	324	Not Applicable	Not Applicable
"Total"	"Jul., 2015"	"2015/07"	"50-54 years"	"50-54"			576	Not Applicable	Not Applicable
	"Jul., 2015"	"2015/07"	"55-59 years"	"55-59"	"Female"	"F"	198	Not Applicable	Not Applicable
	"Jul., 2015"	"2015/07"	"55-59 years"	"55-59"	"Male"	"M"	301	Not Applicable	Not Applicable
"Total"	"Jul., 2015"	"2015/07"	"55-59 years"	"55-59"			499	Not Applicable	Not Applicable
	"Jul., 2015"	"2015/07"	"60-64 years "	"60-64"	"Female"	"F"	115	Not Applicable	Not Applicable
	"Jul., 2015"	"2015/07"	"60-64 years "	"60-64"	"Male"	"M"	179	Not Applicable	Not Applicable
"Total"	"Jul., 2015"	"2015/07"	"60-64 years "	"60-64"			294	Not Applicable	Not Applicable
	"Jul., 2015"	"2015/07"	"65-69 years"	"65-69"	"Female"	"F"	53	Not Applicable	Not Applicable
	"Jul., 2015"	"2015/07"	"65-69 years"	"65-69"	"Male"	"M"	64	Not Applicable	Not Applicable
"Total"	"Jul., 2015"	"2015/07"	"65-69 years"	"65-69"			117	Not Applicable	Not Applicable
	"Jul., 2015"	"2015/07"	"70-74 years"	"70-74"	"Female"	"F"	32	Not Applicable	Not Applicable
	"Jul., 2015"	"2015/07"	"70-74 years"	"70-74"	"Male"	"M"	23	Not Applicable	Not Applicable
"Total"	"Jul., 2015"	"2015/07"	"70-74 years"	"70-74"			55	Not Applicable	Not Applicable
	"Jul., 2015"	"2015/07"	"75-79 years"	"75-79"	"Female"	"F"	11	Not Applicable	Not Applicable
	"Jul., 2015"	"2015/07"	"75-79 years"	"75-79"	"Male"	"M"	13	Not Applicable	Not Applicable
"Total"	"Jul., 2015"	"2015/07"	"75-79 years"	"75-79"			24	Not Applicable	Not Applicable
	"Jul., 2015"	"2015/07"	"80-84 years"	"80-84"	"Female"	"F"	9	Not Applicable	Not Applicable
	"Jul., 2015"	"2015/07"	"80-84 years"	"80-84"	"Male"	"M"	7	Not Applicable	Not Applicable
"Total"	"Jul., 2015"	"2015/07"	"80-84 years"	"80-84"			16	Not Applicable	Not Applicable
	"Jul., 2015"	"2015/07"	"85-89 years"	"85-89"	"Female"	"F"	11	Not Applicable	Not Applicable
	"Jul., 2015"	"2015/07"	"85-89 years"	"85-89"	"Male"	"M"	3	Not Applicable	Not Applicable
"Total"	"Jul., 2015"	"2015/07"	"85-89 years"	"85-89"			14	Not Applicable	Not Applicable
	"Jul., 2015"	"2015/07"	"90-94 years"	"90-94"	"Female"	"F"	3	Not Applicable	Not Applicable
	"Jul., 2015"	"2015/07"	"90-94 years"	"90-94"	"Male"	"M"	1	Not Applicable	Not Applicable
"Total"	"Jul., 2015"	"2015/07"	"90-94 years"	"90-94"			4	Not Applicable	Not Applicable
	"Jul., 2015"	"2015/07"	"95-99 years"	"95-99"	"Female"	"F"	0	Not Applicable	Not Applicable
	"Jul., 2015"	"2015/07"	"95-99 years"	"95-99"	"Male"	"M"	0	Not Applicable	Not Applicable
"Total"	"Jul., 2015"	"2015/07"	"95-99 years"	"95-99"			0	Not Applicable	Not Applicable
	"Jul., 2015"	"2015/07"	"100+ years"	"100+"	"Female"	"F"	0	Not Applicable	Not Applicable
	"Jul., 2015"	"2015/07"	"100+ years"	"100+"	"Male"	"M"	0	Not Applicable	Not Applicable
"Total"	"Jul., 2015"	"2015/07"	"100+ years"	"100+"			0	Not Applicable	Not Applicable
	"Jul., 2015"	"2015/07"	"Not Stated"	"NS"	"Female"	"F"	0	Not Applicable	Not Applicable
	"Jul., 2015"	"2015/07"	"Not Stated"	"NS"	"Male"	"M"	0	Not Applicable	Not Applicable
"Total"	"Jul., 2015"	"2015/07"	"Not Stated"	"NS"			0	Not Applicable	Not Applicable
"Total"	"Jul., 2015"	"2015/07"					4470	Not Applicable	Not Applicable
	"Aug., 2015"	"2015/08"	"< 1 year"	"1"	"Female"	"F"	1	Not Applicable	Not Applicable
	"Aug., 2015"	"2015/08"	"< 1 year"	"1"	"Male"	"M"	2	Not Applicable	Not Applicable
"Total"	"Aug., 2015"	"2015/08"	"< 1 year"	"1"			3	Not Applicable	Not Applicable
	"Aug., 2015"	"2015/08"	"1-4 years"	"1-4"	"Female"	"F"	4	Not Applicable	Not Applicable
	"Aug., 2015"	"2015/08"	"1-4 years"	"1-4"	"Male"	"M"	1	Not Applicable	Not Applicable
"Total"	"Aug., 2015"	"2015/08"	"1-4 years"	"1-4"			5	Not Applicable	Not Applicable
	"Aug., 2015"	"2015/08"	"5-9 years"	"5-9"	"Female"	"F"	0	Not Applicable	Not Applicable
	"Aug., 2015"	"2015/08"	"5-9 years"	"5-9"	"Male"	"M"	3	Not Applicable	Not Applicable
"Total"	"Aug., 2015"	"2015/08"	"5-9 years"	"5-9"			3	Not Applicable	Not Applicable
	"Aug., 2015"	"2015/08"	"10-14 years"	"10-14"	"Female"	"F"	1	Not Applicable	Not Applicable
	"Aug., 2015"	"2015/08"	"10-14 years"	"10-14"	"Male"	"M"	1	Not Applicable	Not Applicable
"Total"	"Aug., 2015"	"2015/08"	"10-14 years"	"10-14"			2	Not Applicable	Not Applicable
	"Aug., 2015"	"2015/08"	"15-19 years"	"15-19"	"Female"	"F"	36	Not Applicable	Not Applicable
	"Aug., 2015"	"2015/08"	"15-19 years"	"15-19"	"Male"	"M"	44	Not Applicable	Not Applicable
"Total"	"Aug., 2015"	"2015/08"	"15-19 years"	"15-19"			80	Not Applicable	Not Applicable
	"Aug., 2015"	"2015/08"	"20-24 years"	"20-24"	"Female"	"F"	100	Not Applicable	Not Applicable
	"Aug., 2015"	"2015/08"	"20-24 years"	"20-24"	"Male"	"M"	206	Not Applicable	Not Applicable
"Total"	"Aug., 2015"	"2015/08"	"20-24 years"	"20-24"			306	Not Applicable	Not Applicable
	"Aug., 2015"	"2015/08"	"25-29 years"	"25-29"	"Female"	"F"	128	Not Applicable	Not Applicable
	"Aug., 2015"	"2015/08"	"25-29 years"	"25-29"	"Male"	"M"	318	Not Applicable	Not Applicable
"Total"	"Aug., 2015"	"2015/08"	"25-29 years"	"25-29"			446	Not Applicable	Not Applicable
	"Aug., 2015"	"2015/08"	"30-34 years"	"30-34"	"Female"	"F"	170	Not Applicable	Not Applicable
	"Aug., 2015"	"2015/08"	"30-34 years"	"30-34"	"Male"	"M"	381	Not Applicable	Not Applicable
"Total"	"Aug., 2015"	"2015/08"	"30-34 years"	"30-34"			551	Not Applicable	Not Applicable
	"Aug., 2015"	"2015/08"	"35-39 years"	"35-39"	"Female"	"F"	185	Not Applicable	Not Applicable
	"Aug., 2015"	"2015/08"	"35-39 years"	"35-39"	"Male"	"M"	350	Not Applicable	Not Applicable
"Total"	"Aug., 2015"	"2015/08"	"35-39 years"	"35-39"			535	Not Applicable	Not Applicable
	"Aug., 2015"	"2015/08"	"40-44 years"	"40-44"	"Female"	"F"	168	Not Applicable	Not Applicable
	"Aug., 2015"	"2015/08"	"40-44 years"	"40-44"	"Male"	"M"	293	Not Applicable	Not Applicable
"Total"	"Aug., 2015"	"2015/08"	"40-44 years"	"40-44"			461	Not Applicable	Not Applicable
	"Aug., 2015"	"2015/08"	"45-49 years"	"45-49"	"Female"	"F"	205	Not Applicable	Not Applicable
	"Aug., 2015"	"2015/08"	"45-49 years"	"45-49"	"Male"	"M"	297	Not Applicable	Not Applicable
"Total"	"Aug., 2015"	"2015/08"	"45-49 years"	"45-49"			502	Not Applicable	Not Applicable
	"Aug., 2015"	"2015/08"	"50-54 years"	"50-54"	"Female"	"F"	242	Not Applicable	Not Applicable
	"Aug., 2015"	"2015/08"	"50-54 years"	"50-54"	"Male"	"M"	348	Not Applicable	Not Applicable
"Total"	"Aug., 2015"	"2015/08"	"50-54 years"	"50-54"			590	Not Applicable	Not Applicable
	"Aug., 2015"	"2015/08"	"55-59 years"	"55-59"	"Female"	"F"	198	Not Applicable	Not Applicable
	"Aug., 2015"	"2015/08"	"55-59 years"	"55-59"	"Male"	"M"	287	Not Applicable	Not Applicable
"Total"	"Aug., 2015"	"2015/08"	"55-59 years"	"55-59"			485	Not Applicable	Not Applicable
	"Aug., 2015"	"2015/08"	"60-64 years "	"60-64"	"Female"	"F"	98	Not Applicable	Not Applicable
	"Aug., 2015"	"2015/08"	"60-64 years "	"60-64"	"Male"	"M"	148	Not Applicable	Not Applicable
"Total"	"Aug., 2015"	"2015/08"	"60-64 years "	"60-64"			246	Not Applicable	Not Applicable
	"Aug., 2015"	"2015/08"	"65-69 years"	"65-69"	"Female"	"F"	68	Not Applicable	Not Applicable
	"Aug., 2015"	"2015/08"	"65-69 years"	"65-69"	"Male"	"M"	72	Not Applicable	Not Applicable
"Total"	"Aug., 2015"	"2015/08"	"65-69 years"	"65-69"			140	Not Applicable	Not Applicable
	"Aug., 2015"	"2015/08"	"70-74 years"	"70-74"	"Female"	"F"	19	Not Applicable	Not Applicable
	"Aug., 2015"	"2015/08"	"70-74 years"	"70-74"	"Male"	"M"	25	Not Applicable	Not Applicable
"Total"	"Aug., 2015"	"2015/08"	"70-74 years"	"70-74"			44	Not Applicable	Not Applicable
	"Aug., 2015"	"2015/08"	"75-79 years"	"75-79"	"Female"	"F"	9	Not Applicable	Not Applicable
	"Aug., 2015"	"2015/08"	"75-79 years"	"75-79"	"Male"	"M"	11	Not Applicable	Not Applicable
"Total"	"Aug., 2015"	"2015/08"	"75-79 years"	"75-79"			20	Not Applicable	Not Applicable
	"Aug., 2015"	"2015/08"	"80-84 years"	"80-84"	"Female"	"F"	6	Not Applicable	Not Applicable
	"Aug., 2015"	"2015/08"	"80-84 years"	"80-84"	"Male"	"M"	8	Not Applicable	Not Applicable
"Total"	"Aug., 2015"	"2015/08"	"80-84 years"	"80-84"			14	Not Applicable	Not Applicable
	"Aug., 2015"	"2015/08"	"85-89 years"	"85-89"	"Female"	"F"	6	Not Applicable	Not Applicable
	"Aug., 2015"	"2015/08"	"85-89 years"	"85-89"	"Male"	"M"	7	Not Applicable	Not Applicable
"Total"	"Aug., 2015"	"2015/08"	"85-89 years"	"85-89"			13	Not Applicable	Not Applicable
	"Aug., 2015"	"2015/08"	"90-94 years"	"90-94"	"Female"	"F"	3	Not Applicable	Not Applicable
	"Aug., 2015"	"2015/08"	"90-94 years"	"90-94"	"Male"	"M"	1	Not Applicable	Not Applicable
